year,institute_type,pool,opening_rank,closing_rank,institute_short,program_name,program_duration,degree_short,category
2018,IIT,Male,6645,8658,IIT-Kharagpur,Information Technology,4,B.Tech,GEN
2018,IIT,Male,3048,3571,IIT-Kharagpur,Information Technology,4,B.Tech,OBC-NCL
2018,IIT,Male,1805,1994,IIT-Kharagpur,Information Technology,4,B.Tech,SC
2018,IIT,Male,272,1123,IIT-Kharagpur,Information Technology,4,B.Tech,ST
2018,IIT,Male,5783,10310,IIT-Kharagpur,Information Technology,4,B.Tech,GEN
2018,IIT,Male,2604,3763,IIT-Kharagpur,Information Technology,4,B.Tech,OBC-NCL
2018,IIT,Male,1815,2347,IIT-Kharagpur,Information Technology,4,B.Tech,SC
2018,IIT,Male,867,1072,IIT-Kharagpur,Information Technology,4,B.Tech,ST
2018,IIT,Male,4183,5437,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,5556,6904,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,2222,2887,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,2262,3321,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,752,1456,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,1584,1747,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,704,862,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,884,1119,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,146,146,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,1906,2965,IIT-Kharagpur,Chemical Engineering,4,B.Tech,GEN
2018,IIT,Male,3009,3606,IIT-Kharagpur,Chemical Engineering,4,B.Tech,GEN
2018,IIT,Male,1094,1475,IIT-Kharagpur,Chemical Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,1478,1806,IIT-Kharagpur,Chemical Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,534,900,IIT-Kharagpur,Chemical Engineering,4,B.Tech,SC
2018,IIT,Male,328,1093,IIT-Kharagpur,Chemical Engineering,4,B.Tech,SC
2018,IIT,Male,266,460,IIT-Kharagpur,Chemical Engineering,4,B.Tech,ST
2018,IIT,Male,508,592,IIT-Kharagpur,Chemical Engineering,4,B.Tech,ST
2018,IIT,Male,118,118,IIT-Kharagpur,Chemical Engineering,4,B.Tech,GEN
2018,IIT,Male,151,151,IIT-Kharagpur,Chemical Engineering,4,B.Tech,GEN
2018,IIT,Male,3979,8727,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,2684,3585,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,1892,2097,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,320,765,IIT-Kharagpur,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,2728,3788,IIT-Kharagpur,Civil Engineering,4,B.Tech,GEN
2018,IIT,Male,714,1349,IIT-Kharagpur,Civil Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,455,671,IIT-Kharagpur,Civil Engineering,4,B.Tech,SC
